IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
34.105.49.234,80,80,false,SEA,North America,Seattle,224,0.00
35.247.124.181,80,80,false,SEA,North America,Seattle,215,0.00
35.198.212.45,443,80,false,SIN,Asia Pacific,Singapore,10,0.00
34.142.133.116,80,80,false,SIN,Asia Pacific,Singapore,28,0.00
34.87.141.22,80,80,false,SIN,Asia Pacific,Singapore,29,0.00
34.126.100.159,80,80,false,SIN,Asia Pacific,Singapore,30,0.00
34.126.100.159,80,80,false,SIN,Asia Pacific,Singapore,34,0.00
34.142.133.116,443,80,false,SIN,Asia Pacific,Singapore,39,0.00
34.117.254.68,80,80,false,SIN,Asia Pacific,Singapore,42,0.00
35.187.229.127,80,8080,false,SIN,Asia Pacific,Singapore,44,0.00
34.87.149.79,80,80,false,SIN,Asia Pacific,Singapore,58,0.00
35.185.140.186,80,80,false,TPE,Asia Pacific,Taipei,59,0.00
34.87.149.79,80,80,false,SIN,Asia Pacific,Singapore,66,0.00
34.87.141.22,443,80,false,SIN,Asia Pacific,Singapore,73,0.00
34.87.149.79,443,80,false,SIN,Asia Pacific,Singapore,82,0.00
34.126.100.159,443,80,false,SIN,Asia Pacific,Singapore,82,0.00
34.87.141.22,443,80,false,SIN,Asia Pacific,Singapore,83,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,90,0.00
34.87.149.79,80,80,false,SIN,Asia Pacific,Singapore,94,0.00
34.87.149.79,80,80,false,SIN,Asia Pacific,Singapore,96,0.00
34.87.141.22,443,80,false,SIN,Asia Pacific,Singapore,101,0.00
34.87.149.79,443,80,false,SIN,Asia Pacific,Singapore,104,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,111,0.00
34.87.141.22,80,80,false,SIN,Asia Pacific,Singapore,113,0.00
34.36.183.121,80,80,false,SIN,Asia Pacific,Singapore,118,0.00
34.160.118.77,80,80,false,SIN,Asia Pacific,Singapore,121,0.00
34.126.100.159,80,80,false,SIN,Asia Pacific,Singapore,128,0.00
34.87.149.79,443,80,false,SIN,Asia Pacific,Singapore,134,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,Mumbai,134,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,137,0.00
34.87.141.22,80,80,false,SIN,Asia Pacific,Singapore,138,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,Mumbai,144,0.00
34.111.135.19,80,80,false,SIN,Asia Pacific,Singapore,147,0.00
34.87.149.79,443,80,false,SIN,Asia Pacific,Singapore,148,0.00
34.87.141.22,443,80,false,SIN,Asia Pacific,Singapore,151,0.00
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,152,0.00
34.87.141.22,80,80,false,SIN,Asia Pacific,Singapore,154,0.00
34.82.90.65,80,80,false,SEA,North America,Seattle,155,0.00
34.82.26.69,80,80,false,SEA,North America,Seattle,155,0.00
34.82.90.65,443,80,false,SEA,North America,Seattle,157,0.00
34.82.90.65,443,80,false,SEA,North America,Seattle,157,0.00
34.82.26.69,80,80,false,SEA,North America,Seattle,158,0.00
35.197.89.213,80,80,false,SEA,North America,Seattle,160,0.00
34.141.248.249,2087,80,false,AMS,Europe,Amsterdam,160,0.00
34.141.248.249,2053,80,false,AMS,Europe,Amsterdam,161,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,Mumbai,163,0.00
34.126.100.159,443,80,false,SIN,Asia Pacific,Singapore,163,0.00
34.141.221.33,2052,80,false,AMS,Europe,Amsterdam,164,0.00
34.147.101.117,2052,80,false,AMS,Europe,Amsterdam,165,0.00
34.105.49.234,80,80,false,SEA,North America,Seattle,168,0.00
34.141.248.249,2082,80,false,AMS,Europe,Amsterdam,168,0.00
34.141.221.33,2087,80,false,AMS,Europe,Amsterdam,169,0.00
34.147.101.117,2082,80,false,AMS,Europe,Amsterdam,173,0.00
34.147.101.117,2053,80,false,AMS,Europe,Amsterdam,174,0.00
34.147.101.117,2087,80,false,SYD,Oceania,Sydney,178,0.00
34.82.90.65,443,80,false,SEA,North America,Seattle,178,0.00
34.175.95.58,2096,80,false,MAD,Europe,Madrid,179,0.00
35.187.41.171,2083,80,false,CDG,Europe,Paris,179,0.00
34.175.95.58,2095,80,false,MAD,Europe,Madrid,179,0.00
34.141.248.249,2096,80,false,AMS,Europe,Amsterdam,179,0.00
34.82.90.65,80,80,false,SEA,North America,Seattle,181,0.00
34.147.101.117,2096,80,false,AMS,Europe,Amsterdam,183,0.00
34.141.248.249,2086,80,false,AMS,Europe,Amsterdam,183,0.00
34.111.135.19,80,80,false,SIN,Asia Pacific,Singapore,185,0.00
34.175.95.58,2052,80,false,MAD,Europe,Madrid,186,0.00
34.82.76.253,80,80,false,SEA,North America,Seattle,187,0.00
34.147.101.117,2095,80,false,AMS,Europe,Amsterdam,188,0.00
34.141.221.33,2095,80,false,AMS,Europe,Amsterdam,188,0.00
34.175.95.58,2053,80,false,MAD,Europe,Madrid,189,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,Mumbai,191,0.00
34.105.49.234,443,443,true,SEA,North America,Seattle,199,0.00
34.82.90.65,80,80,false,SEA,North America,Seattle,200,0.00
34.82.76.253,80,80,false,SEA,North America,Seattle,201,0.00
34.147.82.194,2053,80,false,AMS,Europe,Amsterdam,204,0.00
34.82.26.69,80,80,false,SEA,North America,Seattle,207,0.00
34.82.26.69,80,80,false,SEA,North America,Seattle,210,0.00
35.244.133.3,80,80,false,SIN,Asia Pacific,Singapore,210,0.00
34.141.248.249,2083,80,false,AMS,Europe,Amsterdam,213,0.00
34.170.57.85,8080,80,false,ORD,North America,Chicago,214,0.00
34.175.7.231,2052,80,false,MAD,Europe,Madrid,220,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,Mumbai,221,0.00
34.82.90.65,80,80,false,SEA,North America,Seattle,221,0.00
34.175.7.231,2087,80,false,MAD,Europe,Madrid,222,0.00
34.141.221.33,2096,80,false,AMS,Europe,Amsterdam,223,0.00
34.126.100.159,443,80,false,SIN,Asia Pacific,Singapore,223,0.00
34.141.248.249,2052,80,false,AMS,Europe,Amsterdam,224,0.00
34.82.76.253,80,80,false,SEA,North America,Seattle,224,0.00
34.74.105.17,80,8080,false,ATL,North America,Atlanta,226,0.00
34.175.95.58,2086,80,false,MAD,Europe,Madrid,226,0.00
34.74.105.17,80,8080,false,ATL,North America,Atlanta,227,0.00
34.141.221.33,2082,80,false,AMS,Europe,Amsterdam,229,0.00
34.74.105.17,80,8080,false,ATL,North America,Atlanta,230,0.00
34.175.7.231,2053,80,false,MAD,Europe,Madrid,231,0.00
34.82.90.65,443,80,false,SEA,North America,Seattle,231,0.00
35.232.39.116,80,80,false,DFW,North America,Dallas,231,0.00
34.82.76.253,80,80,false,SEA,North America,Seattle,231,0.00
34.141.221.33,2053,80,false,AMS,Europe,Amsterdam,235,0.00
34.93.79.152,80,80,false,BOM,Asia Pacific,Mumbai,238,0.00
35.188.87.85,80,8080,false,ORD,North America,Chicago,240,0.00
34.74.105.17,80,8080,false,ATL,North America,Atlanta,244,0.00
35.200.202.118,80,80,false,BOM,Asia Pacific,Mumbai,251,0.00
34.175.95.58,2082,80,false,MAD,Europe,Madrid,252,0.00
35.237.154.5,80,80,false,ATL,North America,Atlanta,255,0.00
34.175.7.231,2082,80,false,MAD,Europe,Madrid,262,0.00
